Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,dateInYear,Record,RecordText,RecordP,CulmPrec
4,27,49,61,49,65,36,1955,87,2004,0,0.89,1953,2011-04-27,117,FALSE,,FALSE,0.33000000000000007
4,28,48,61,49,65,39,1967,89,1981,0,0.6,1951,2011-04-28,118,FALSE,,FALSE,0.33000000000000007
4,29,43,64,49,65,40,1950,92,1981,0,0.73,1948,2011-04-29,119,FALSE,,FALSE,0.33000000000000007
4,30,50,69,49,66,41,1946,90,1996,0,0.71,1983,2011-04-30,120,FALSE,,FALSE,0.33000000000000007
5,1,47,76,49,66,44,2008,89,1947,0,0.2,2009,2011-05-01,121,FALSE,,FALSE,0
5,2,50,65,49,66,42,1954,84,1992,0,0.42,2003,2011-05-02,122,FALSE,,FALSE,0
5,3,49,69,49,66,39,1950,79,1953,0,0.44,1951,2011-05-03,123,FALSE,,FALSE,0
5,4,52,84,49,66,40,1952,84,2011,0,0.48,1998,2011-05-04,124,TRUE,"Record
 High: 84",FALSE,0
5,5,52,78,50,66,41,1965,91,1987,0,0.24,1983,2011-05-05,125,FALSE,,FALSE,0
5,6,50,60,50,66,41,1968,87,1949,0,0.66,1994,2011-05-06,126,FALSE,,FALSE,0
5,7,51,60,50,66,40,1968,89,2007,0,0.44,1994,2011-05-07,127,FALSE,,FALSE,0
5,8,50,61,50,66,44,1968,86,2001,0,0.3,1963,2011-05-08,128,FALSE,,FALSE,0
5,9,47,63,50,66,41,1950,88,1993,0,0.2,1980,2011-05-09,129,FALSE,,FALSE,0
5,10,49,62,50,66,43,1953,84,2006,0,0.2,1963,2011-05-10,130,FALSE,,FALSE,0
5,11,51,59,50,66,42,1982,85,1959,0,0.11,1958,2011-05-11,131,FALSE,,FALSE,0
5,12,50,63,50,66,42,1953,96,1976,0,0.4,1998,2011-05-12,132,FALSE,,FALSE,0
5,13,48,60,50,66,45,1968,90,1976,0,0.32,1995,2011-05-13,133,FALSE,,FALSE,0
5,14,47,58,50,66,41,1968,87,2006,0.11,0.33,1995,2011-05-14,134,FALSE,,FALSE,0.11
5,15,46,60,50,67,43,1968,96,2008,0.08,1.03,1996,2011-05-15,135,FALSE,,FALSE,0.19
5,16,50,61,51,67,44,1984,93,1956,0.09,0.13,1994,2011-05-16,136,FALSE,,FALSE,0.28
5,17,50,57,51,67,45,1996,93,2009,0.11,0.24,1994,2011-05-17,137,FALSE,,FALSE,0.39
5,18,51,63,51,67,42,1974,85,1978,0,1.23,1957,2011-05-18,138,FALSE,,FALSE,0.39
5,19,49,68,51,67,42,1950,86,1983,0,0.3,1961,2011-05-19,139,FALSE,,FALSE,0.39
